country,region,city,clicks,leads,sales,saleAmount
IN,*,*,0,0,50,58415352
KR,*,*,0,0,72,50277163
HK,*,*,0,0,83,24306909
GE,*,*,0,0,5,19732586
DE,*,*,0,0,60,11869408
TR,*,*,0,0,9,5558815
IL,*,*,0,0,9,4192639
TH,*,*,0,0,12,3548920
CA,*,*,0,0,11,3371371
VN,*,*,0,0,198,3294990
AL,*,*,0,0,3,2442159
ES,*,*,0,0,12,1722257
FR,*,*,0,0,15,1530636
NZ,*,*,0,0,25,1269564
ID,*,*,0,0,21,925705
CZ,*,*,0,0,2,680167
AT,*,*,0,0,12,650958
NL,*,*,0,0,25,622190
RU,*,*,0,0,5,615677
BG,*,*,0,0,11,347925
MY,*,*,0,0,3,274100
SE,*,*,0,0,6,215854
JP,*,*,0,0,3,113209
GB,*,*,0,0,13,74730
UA,*,*,0,0,11,44209
CO,*,*,0,0,8,27684
US,*,*,0,0,3,24457
BD,*,*,0,0,2,20088
AR,*,*,0,0,1,20000
NG,*,*,0,0,2,19597
TW,*,*,0,0,2,14982
BR,*,*,0,0,2,7552
GR,*,*,0,0,2,3454
PK,*,*,0,0,1,1320
