country,region,city,clicks,leads,sales,saleAmount
KR,KR-11,*,0,0,58,44799373
IN,IN-KA,*,0,0,13,43457148
HK,HK-Unknown,*,0,0,83,24306909
GE,GE-TB,*,0,0,5,19732586
IN,IN-OD,*,0,0,8,14450816
DE,DE-BE,*,0,0,23,9341098
KR,KR-41,*,0,0,14,5477790
TR,TR-34,*,0,0,7,4859042
IL,IL-D,*,0,0,9,4192639
TH,TH-10,*,0,0,12,3548920
CA,CA-MB,*,0,0,10,3357276
AL,AL-11,*,0,0,3,2442159
VN,VN-DN,*,0,0,158,2232525
ES,ES-MD,*,0,0,12,1722257
DE,DE-HE,*,0,0,5,1314518
NZ,NZ-AUK,*,0,0,25,1269564
DE,DE-RP,*,0,0,12,1112057
ID,ID-JK,*,0,0,18,910085
FR,FR-ARA,*,0,0,9,791690
VN,VN-HN,*,0,0,15,758850
FR,FR-PAC,*,0,0,5,729001
TR,TR-16,*,0,0,2,699773
CZ,CZ-10,*,0,0,2,680167
AT,AT-Unknown,*,0,0,9,635771
RU,RU-MOW,*,0,0,5,615677
NL,NL-ZH,*,0,0,7,488940
BG,BG-22,*,0,0,11,347925
VN,VN-SG,*,0,0,21,298013
MY,MY-14,*,0,0,3,274100
SE,SE-AB,*,0,0,6,215854
IN,IN-CH,*,0,0,2,176100
IN,IN-MP,*,0,0,9,130379
IN,IN-MH,*,0,0,10,118881
JP,JP-27,*,0,0,3,113209
NL,NL-NH,*,0,0,16,79549
GB,GB-ENG,*,0,0,13,74730
IN,IN-DL,*,0,0,1,49969
DE,DE-BW,*,0,0,3,40774
NL,NL-FL,*,0,0,1,30000
CO,CO-DC,*,0,0,8,27684
DE,DE-BY,*,0,0,6,26790
NL,NL-Unknown,*,0,0,1,23701
US,US-WA,*,0,0,2,21964
UA,UA-12,*,0,0,6,21943
BD,BD-Unknown,*,0,0,2,20088
IN,IN-SK,*,0,0,1,20000
AR,AR-M,*,0,0,1,20000
NG,NG-LA,*,0,0,2,19597
DE,DE-NW,*,0,0,4,16742
ID,ID-SU,*,0,0,3,15620
AT,AT-9,*,0,0,3,15187
CA,CA-BC,*,0,0,1,14095
UA,UA-30,*,0,0,4,12286
TW,TW-Unknown,*,0,0,1,10000
UA,UA-46,*,0,0,1,9980
FR,FR-Unknown,*,0,0,1,9945
IN,IN-TS,*,0,0,5,8427
BR,BR-SP,*,0,0,2,7552
VN,VN-39,*,0,0,4,5602
DE,DE-HH,*,0,0,2,5019
DE,DE-SL,*,0,0,1,4983
TW,TW-TPE,*,0,0,1,4982
IN,IN-HR,*,0,0,1,3632
GR,GR-I,*,0,0,1,3437
DE,DE-SN,*,0,0,2,2574
US,US-NC,*,0,0,1,2493
DE,DE-BB,*,0,0,1,2430
DE,DE-ST,*,0,0,1,2423
PK,PK-SD,*,0,0,1,1320
GR,GR-B,*,0,0,1,17
