start,clicks,leads,sales,saleAmount
2025-03-01T00:00:00.000+0530,0,0,0,0
2025-04-01T00:00:00.000+0530,0,0,0,0
2025-05-01T00:00:00.000+0530,0,0,0,0
2025-06-01T00:00:00.000+0530,0,0,0,0
2025-07-01T00:00:00.000+0530,0,0,0,0
2025-08-01T00:00:00.000+0530,0,0,0,0
2025-09-01T00:00:00.000+0530,0,0,0,0
2025-10-01T00:00:00.000+0530,0,0,54,27229909
2025-11-01T00:00:00.000+0530,0,0,127,30640435
2025-12-01T00:00:00.000+0530,0,0,87,19540731
2026-01-01T00:00:00.000+0530,0,0,80,14821030
2026-02-01T00:00:00.000+0530,0,0,64,34773854
2026-03-01T00:00:00.000+0530,0,0,76,39850914
2026-04-01T00:00:00.000+0530,0,0,106,12317403
2026-05-01T00:00:00.000+0530,0,0,76,17062351
