url,clicks,leads,sales,saleAmount
https://polymarket.com/event/megaeth-250m-pre-deposit-bridge-filled-in-the-first-hour?tid=1764055323051&via=aadvark89,0,0,124,77062940
https://polymarket.com/event/what-will-powell-say-during-october-press-conference/will-powell-say-good-afternoon-during-october-press-conference-812?tid=1761757952094&via=aadvark89,0,0,13,43457148
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761470990094&via=aadvark89,0,0,91,34866766
https://polymarket.com/?via=aadvark89,0,0,104,17891769
https://polymarket.com/event/what-day-will-gemini-3pt0-be-released/will-gemini-3pt0-be-released-on-november-18-2025?via=aadvark89,0,0,21,5067806
https://polymarket.com/event/will-polymarket-us-go-live-in-2025?tid=1762456882601&via=aadvark89,0,0,11,3311520
https://polymarket.com/event/monad-market-cap-fdv-one-day-after-launch?tid=1763740912465&via=aadvark89,0,0,190,3091151
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761651404884&via=aadvark89,0,0,9,2901284
https://polymarket.com/event/what-will-bryan-johnson-say-while-tripping-balls/will-bryan-johnson-say-mushroom-10-times-while-tripping-balls?tid=1764449352302&via=aadvark89,0,0,8,2787680
https://polymarket.com/rewards?via=aadvark89&id=rate_per_day&desc=true&q=,0,0,2,1130919
https://polymarket.com/event/what-day-will-the-lighter-airdrop-be?tid=1765727510940&via=aadvark89,0,0,14,769413
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761488387829&via=aadvark89,0,0,10,764896
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761474245163&via=aadvark89,0,0,7,763998
https://polymarket.com/event/what-will-bryan-johnson-say-while-tripping-balls/will-bryan-johnson-say-mushroom-10-times-while-tripping-balls?tid=1764446689783&via=aadvark89,0,0,26,627211
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761473428837&via=aadvark89,0,0,1,526100
https://polymarket.com/event/monad-market-cap-fdv-one-day-after-launch?tid=1762102121099&via=aadvark89,0,0,14,522529
https://polymarket.com/event/megaeth-250m-pre-deposit-bridge-filled-in-the-first-hour?tid=1764068806879&via=aadvark89,0,0,1,154067
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761503324051&via=aadvark89&s=09,0,0,10,118881
https://polymarket.com/event/megaeth-market-cap-fdv-one-day-after-launch/megaeth-market-cap-fdv-2b-one-day-after-launch-738?tid=1767713385860&via=aadvark89,0,0,21,115257
https://polymarket.com/rewards?via=aadvark89,0,0,3,93109
https://polymarket.com/@0xafEe?via=aadvark89,0,0,3,71933
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761688762471&via=aadvark89,0,0,1,38124
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761476288337&via=aadvark89,0,0,2,27692
https://polymarket.com/event/what-day-will-the-lighter-airdrop-be?tid=1765812529504&via=aadvark89,0,0,2,21571
https://polymarket.com/event/gemini-3pt0-released-by?tid=1763359261697&via=aadvark89,0,0,2,20485
https://polymarket.com/event/over-150000-bidders-in-the-megaeth-public-sale?via=aadvark89,0,0,4,12286
https://polymarket.com/event/over-1pt8b-committed-to-the-megaeth-public-sale?tid=1761670408184&via=aadvark89,0,0,1,9945
https://polymarket.com/event/what-will-bryan-johnson-say-while-tripping-balls/will-bryan-johnson-say-mushroom-10-times-while-tripping-balls?tid=1764497551579&via=aadvark89,0,0,2,7573
https://polymarket.com/event/what-will-bryan-johnson-say-while-tripping-balls/will-bryan-johnson-say-mushroom-10-times-while-tripping-balls?tid=1764495746534&via=aadvark89,0,0,2,2574
